District,Year,Month,Rainfall_mm,Temperature_C,Humidity_pct,Population_Density,Dengue_Cases,Outbreak
Colombo,2018,1,230.62696715703566,25.711815904183275,78.3449507582348,6276.9568503102355,24,0
Colombo,2018,2,250.87876723509635,27.935494907052487,94.38863556784366,2410.045125043641,28,0
Colombo,2018,3,54.473220417302436,30.235104035145977,91.45437129887813,5602.80617770333,9,0
Colombo,2018,4,166.12325231597782,28.464909394867,76.77229860299721,5609.217238374459,19,0
Colombo,2018,5,157.41879857241662,22.684099046040416,62.48454798668166,3213.553948832999,17,0
Colombo,2018,6,54.07678984579609,27.610771868062358,61.2051039289544,6778.711507905373,7,0
Colombo,2018,7,209.9243612084752,31.938221513728408,90.94890429545637,2002.2847394562914,20,0
Colombo,2018,8,317.6405407467435,26.840038489070924,68.22061767620787,1874.5906310409596,21,0
Colombo,2018,9,115.07812158875961,25.11819797628071,77.14634247007763,3870.579323643832,16,0
Colombo,2018,10,221.73251398354742,26.599815198262228,94.81469059134544,3456.2422586241946,19,0
Colombo,2018,11,152.93335803153803,31.061582812378106,87.57085054334533,5546.804221907957,22,0
Colombo,2018,12,142.3008751680174,32.518418197423074,86.93469775389315,6459.8521356658575,16,0
Colombo,2019,1,259.1685663186,27.718682504042107,63.51368416874999,2674.333874747183,20,0
Colombo,2019,2,127.25154999044891,22.617704703578728,78.52986687997725,4300.022733285121,18,0
Colombo,2019,3,348.4519001011218,30.092674525640213,68.68091652182385,6247.250047187053,33,0
Colombo,2019,4,256.15175516532315,27.31367337642911,86.93026592544824,4870.391193258218,16,0
Colombo,2019,5,77.1639508752929,26.58138070285093,77.16383649416855,737.9874042431622,15,0
Colombo,2019,6,206.39288941954203,23.233642698198704,83.14878682259163,2719.7120432469533,23,0
Colombo,2019,7,138.4514511027794,32.54353004151778,80.62600422600606,2797.5910611510003,18,0
Colombo,2019,8,299.6750027126635,28.71669971165026,61.238698038468556,4509.803066679993,30,0
Colombo,2019,9,150.6782050439296,25.598390264443836,93.22211281256727,976.8060701874674,24,0
Colombo,2019,10,186.66077512343873,31.90679451413762,94.88551506031888,3571.0529796285505,15,0
Colombo,2019,11,175.01380706262617,28.3374498647705,73.03830336223804,3957.649214600287,28,0
Colombo,2019,12,142.86432980471875,23.811056436620486,63.168420728111855,5976.229771317374,10,0
Colombo,2020,1,277.68061634313335,30.67499423743378,61.495988472057704,2890.6680539898884,32,0
Colombo,2020,2,228.5732654153519,29.44069573484196,94.51479349911831,6972.06295251832,23,0
Colombo,2020,3,323.95777418407715,33.365791474159025,83.6807864433759,3294.439168553822,29,0
Colombo,2020,4,239.5389831853559,29.968399210766865,60.2378033448765,3207.0909245394673,18,0
Colombo,2020,5,75.6972075307026,32.69355240681715,77.92404309784021,5690.86140792367,11,0
Colombo,2020,6,323.7942015656667,29.358566053032305,90.75761461467111,5631.4612022492765,37,0
Colombo,2020,7,115.5240130579845,31.153481399261985,91.1689764098868,6262.584981662413,17,0
Colombo,2020,8,56.78697739446129,23.82700880902694,60.73053944966113,6710.872484541999,11,0
Colombo,2020,9,335.3697368805458,31.49205541517209,94.36496327113443,2304.1824970120542,24,0
Colombo,2020,10,162.20977730891303,29.451508022686816,62.71230548188537,1169.0829836208945,21,0
Colombo,2020,11,320.23398224878173,32.44560749430052,80.36859212943504,1671.1295570924563,24,0
Colombo,2020,12,180.68118089608413,33.8882603189746,85.93923855660209,2792.2671769077415,19,0
Colombo,2021,1,120.76378001177113,27.444222461608675,87.8687469588367,801.0053072194303,21,0
Colombo,2021,2,84.02676527079828,24.201689674077052,72.56254027573911,507.55425161195467,6,0
